"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"72","0.028","0.028","0.028","0.05","0.05","0.05","0.065","0.065","0.065","0.067","0.067","0.067","0.116","0.116","0.116","0.152","0.152","0.152","0.348","0.348","0.348"
"73","0.019","0.019","0.019","0.046","0.046","0.046","0.062","0.062","0.062","0.054","0.054","0.054","0.122","0.122","0.122","0.14","0.14","0.14","0.318","0.318","0.318"
"74","0.014","0.014","0.014","0.059","0.059","0.059","0.046","0.046","0.046","0.101","0.101","0.101","0.138","0.138","0.138","0.139","0.139","0.139","0.339","0.339","0.339"
"75","0.019","0.019","0.019","0.055","0.055","0.055","0.055","0.055","0.055","0.096","0.096","0.096","0.155","0.155","0.155","0.144","0.144","0.144","0.35","0.35","0.35"
"76","0.018","0.018","0.018","0.069","0.069","0.069","0.06","0.06","0.06","0.068","0.068","0.068","0.142","0.142","0.142","0.152","0.152","0.152","0.335","0.335","0.335"
"77","0.033","0.033","0.033","0.044","0.044","0.044","0.069","0.069","0.069","0.075","0.075","0.075","0.114","0.114","0.114","0.143","0.143","0.143","0.349","0.349","0.349"
"78","0.044","0.044","0.044","0.044","0.044","0.044","0.07","0.07","0.07","0.068","0.068","0.068","0.13","0.13","0.13","0.165","0.165","0.165","0.349","0.349","0.349"
"79","0.023","0.023","0.023","0.057","0.057","0.057","0.053","0.053","0.053","0.117","0.117","0.117","0.151","0.151","0.151","0.145","0.145","0.145","0.341","0.341","0.341"
"80","0.027","0.027","0.027","0.051","0.051","0.051","0.057","0.057","0.057","0.082","0.082","0.082","0.131","0.131","0.131","0.147","0.147","0.147","0.355","0.355","0.355"
"81","0.035","0.035","0.035","0.046","0.046","0.046","0.064","0.064","0.064","0.069","0.069","0.069","0.132","0.132","0.132","0.138","0.138","0.138","0.349","0.349","0.349"
"82","0.026","0.026","0.026","0.046","0.046","0.046","0.05","0.05","0.05","0.107","0.107","0.107","0.149","0.149","0.149","0.153","0.153","0.153","0.335","0.335","0.335"
"83","0.053","0.053","0.053","0.052","0.052","0.052","0.053","0.053","0.053","0.102","0.102","0.102","0.126","0.126","0.126","0.159","0.159","0.159","0.352","0.352","0.352"
"84","0.036","0.036","0.036","0.066","0.066","0.066","0.087","0.087","0.087","0.079","0.079","0.079","0.162","0.162","0.162","0.188","0.188","0.188","0.375","0.375","0.375"
"85","0.002","0.002","0.002","0.073","0.073","0.073","0.065","0.065","0.065","0.058","0.058","0.058","0.151","0.151","0.151","0.165","0.165","0.165","0.367","0.367","0.367"
"86","0.047","0.047","0.047","0.083","0.083","0.083","0.067","0.067","0.067","0.062","0.062","0.062","0.15","0.15","0.15","0.153","0.153","0.153","0.383","0.383","0.383"
"87","0.044","0.044","0.044","0.049","0.049","0.049","0.07","0.07","0.07","0.078","0.078","0.078","0.145","0.145","0.145","0.164","0.164","0.164","0.391","0.391","0.391"
"88","0.021","0.021","0.021","0.053","0.053","0.053","0.078","0.078","0.078","0.079","0.079","0.079","0.145","0.145","0.145","0.151","0.151","0.151","0.349","0.349","0.349"
"89","0.021","0.021","0.021","0.054","0.054","0.054","0.079","0.079","0.079","0.1","0.1","0.1","0.143","0.143","0.143","0.187","0.187","0.187","0.392","0.392","0.392"
"90","0.043","0.043","0.043","0.062","0.062","0.062","0.076","0.076","0.076","0.062","0.062","0.062","0.156","0.156","0.156","0.175","0.175","0.175","0.403","0.403","0.403"
"91","0.026","0.026","0.026","0.063","0.063","0.063","0.067","0.067","0.067","0.042","0.042","0.042","0.163","0.163","0.163","0.164","0.164","0.164","0.375","0.375","0.375"
"92","0.047","0.047","0.047","0.054","0.054","0.054","0.063","0.063","0.063","0.082","0.082","0.082","0.166","0.166","0.166","0.16","0.16","0.16","0.358","0.358","0.358"
"93","0.049","0.049","0.049","0.083","0.083","0.083","0.056","0.056","0.056","0.086","0.086","0.086","0.149","0.149","0.149","0.174","0.174","0.174","0.388","0.388","0.388"
"94","0.047","0.047","0.047","0.072","0.072","0.072","0.07","0.07","0.07","0.105","0.105","0.105","0.182","0.182","0.182","0.202","0.202","0.202","0.401","0.401","0.401"
"95","0.012","0.012","0.012","0.05","0.05","0.05","0.056","0.056","0.056","0.089","0.089","0.089","0.145","0.145","0.145","0.194","0.194","0.194","0.393","0.393","0.393"
"96","0.028","0.028","0.028","0.058","0.058","0.058","0.07","0.07","0.07","0.094","0.094","0.094","0.163","0.163","0.163","0.16","0.16","0.16","0.395","0.395","0.395"
"97","0.045","0.045","0.045","0.066","0.066","0.066","0.09","0.09","0.09","0.066","0.066","0.066","0.151","0.151","0.151","0.175","0.175","0.175","0.408","0.408","0.408"
"98","0.03","0.03","0.03","0.062","0.062","0.062","0.067","0.067","0.067","0.094","0.094","0.094","0.165","0.165","0.165","0.165","0.165","0.165","0.406","0.406","0.406"
"99","0.065","0.065","0.065","0.059","0.059","0.059","0.076","0.076","0.076","0.116","0.116","0.116","0.147","0.147","0.147","0.216","0.216","0.216","0.428","0.428","0.428"
"100","0.032","0.032","0.032","0.079","0.079","0.079","0.058","0.058","0.058","0.132","0.132","0.132","0.175","0.175","0.175","0.18","0.18","0.18","0.382","0.382","0.382"
"101","0.013","0.013","0.013","0.084","0.084","0.084","0.076","0.076","0.076","0.106","0.106","0.106","0.165","0.165","0.165","0.179","0.179","0.179","0.436","0.436","0.436"
"102","0.016","0.016","0.016","0.058","0.058","0.058","0.081","0.081","0.081","0.091","0.091","0.091","0.167","0.167","0.167","0.19","0.19","0.19","0.413","0.413","0.413"
"103","0.014","0.014","0.014","0.063","0.063","0.063","0.088","0.088","0.088","0.08","0.08","0.08","0.17","0.17","0.17","0.189","0.189","0.189","0.385","0.385","0.385"
"104","0.034","0.034","0.034","0.076","0.076","0.076","0.105","0.105","0.105","0.152","0.152","0.152","0.184","0.184","0.184","0.208","0.208","0.208","0.415","0.415","0.415"
"105","0.031","0.031","0.031","0.071","0.071","0.071","0.098","0.098","0.098","0.139","0.139","0.139","0.188","0.188","0.188","0.19","0.19","0.19","0.411","0.411","0.411"
"106","0.008","0.008","0.008","0.061","0.061","0.061","0.081","0.081","0.081","0.105","0.105","0.105","0.16","0.16","0.16","0.197","0.197","0.197","0.419","0.419","0.419"
"107","0.008","0.008","0.008","0.076","0.076","0.076","0.096","0.096","0.096","0.116","0.116","0.116","0.173","0.173","0.173","0.187","0.187","0.187","0.42","0.42","0.42"
"108","0.024","0.024","0.024","0.073","0.073","0.073","0.092","0.092","0.092","0.118","0.118","0.118","0.195","0.195","0.195","0.198","0.198","0.198","0.429","0.429","0.429"
"109","0.024","0.024","0.024","0.054","0.054","0.054","0.095","0.095","0.095","0.141","0.141","0.141","0.17","0.17","0.17","0.198","0.198","0.198","0.431","0.431","0.431"
"110","0.039","0.039","0.039","0.078","0.078","0.078","0.072","0.072","0.072","0.117","0.117","0.117","0.186","0.186","0.186","0.205","0.205","0.205","0.469","0.469","0.469"
"111","0.06","0.06","0.06","0.069","0.069","0.069","0.073","0.073","0.073","0.116","0.116","0.116","0.191","0.191","0.191","0.207","0.207","0.207","0.458","0.458","0.458"
"112","0.032","0.032","0.032","0.08","0.08","0.08","0.092","0.092","0.092","0.103","0.103","0.103","0.177","0.177","0.177","0.181","0.181","0.181","0.407","0.407","0.407"
"113","0.081","0.081","0.081","0.078","0.078","0.078","0.087","0.087","0.087","0.151","0.151","0.151","0.181","0.181","0.181","0.184","0.184","0.184","0.449","0.449","0.449"
"114","0.012","0.012","0.012","0.096","0.096","0.096","0.084","0.084","0.084","0.132","0.132","0.132","0.18","0.18","0.18","0.195","0.195","0.195","0.433","0.433","0.433"
"115","0.029","0.029","0.029","0.075","0.075","0.075","0.083","0.083","0.083","0.095","0.095","0.095","0.185","0.185","0.185","0.201","0.201","0.201","0.461","0.461","0.461"
"116","0.068","0.068","0.068","0.081","0.081","0.081","0.087","0.087","0.087","0.102","0.102","0.102","0.237","0.237","0.237","0.21","0.21","0.21","0.455","0.455","0.455"
"117","0.046","0.046","0.046","0.081","0.081","0.081","0.092","0.092","0.092","0.118","0.118","0.118","0.199","0.199","0.199","0.237","0.237","0.237","0.44","0.44","0.44"
"118","0.049","0.049","0.049","0.088","0.088","0.088","0.08","0.08","0.08","0.095","0.095","0.095","0.198","0.198","0.198","0.216","0.216","0.216","0.436","0.436","0.436"
"119","0.066","0.066","0.066","0.066","0.066","0.066","0.105","0.105","0.105","0.102","0.102","0.102","0.189","0.189","0.189","0.199","0.199","0.199","0.457","0.457","0.457"
"120","0.037","0.037","0.037","0.09","0.09","0.09","0.09","0.09","0.09","0.105","0.105","0.105","0.192","0.192","0.192","0.23","0.23","0.23","0.44","0.44","0.44"
"121","0.045","0.045","0.045","0.105","0.105","0.105","0.086","0.086","0.086","0.161","0.161","0.161","0.218","0.218","0.218","0.211","0.211","0.211","0.481","0.481","0.481"
"122","0.041","0.041","0.041","0.08","0.08","0.08","0.092","0.092","0.092","0.174","0.174","0.174","0.208","0.208","0.208","0.223","0.223","0.223","0.487","0.487","0.487"
"123","0.015","0.015","0.015","0.068","0.068","0.068","0.112","0.112","0.112","0.17","0.17","0.17","0.214","0.214","0.214","0.241","0.241","0.241","0.47","0.47","0.47"
"124","0.039","0.039","0.039","0.099","0.099","0.099","0.095","0.095","0.095","0.128","0.128","0.128","0.199","0.199","0.199","0.232","0.232","0.232","0.486","0.486","0.486"
"125","0.06","0.06","0.06","0.088","0.088","0.088","0.079","0.079","0.079","0.16","0.16","0.16","0.217","0.217","0.217","0.21","0.21","0.21","0.457","0.457","0.457"
"126","0.039","0.039","0.039","0.088","0.088","0.088","0.102","0.102","0.102","0.16","0.16","0.16","0.222","0.222","0.222","0.216","0.216","0.216","0.469","0.469","0.469"
"127","0.052","0.052","0.052","0.089","0.089","0.089","0.103","0.103","0.103","0.114","0.114","0.114","0.237","0.237","0.237","0.216","0.216","0.216","0.491","0.491","0.491"
"128","0.049","0.049","0.049","0.079","0.079","0.079","0.109","0.109","0.109","0.148","0.148","0.148","0.224","0.224","0.224","0.224","0.224","0.224","0.493","0.493","0.493"
"129","0.036","0.036","0.036","0.079","0.079","0.079","0.099","0.099","0.099","0.129","0.129","0.129","0.205","0.205","0.205","0.21","0.21","0.21","0.443","0.443","0.443"
"130","0.06","0.06","0.06","0.094","0.094","0.094","0.09","0.09","0.09","0.124","0.124","0.124","0.235","0.235","0.235","0.232","0.232","0.232","0.447","0.447","0.447"
"131","0.04","0.04","0.04","0.11","0.11","0.11","0.097","0.097","0.097","0.173","0.173","0.173","0.233","0.233","0.233","0.234","0.234","0.234","0.475","0.475","0.475"
"132","0.035","0.035","0.035","0.082","0.082","0.082","0.092","0.092","0.092","0.14","0.14","0.14","0.198","0.198","0.198","0.236","0.236","0.236","0.486","0.486","0.486"
"133","0.032","0.032","0.032","0.082","0.082","0.082","0.111","0.111","0.111","0.164","0.164","0.164","0.198","0.198","0.198","0.232","0.232","0.232","0.496","0.496","0.496"
"134","0.063","0.063","0.063","0.087","0.087","0.087","0.095","0.095","0.095","0.16","0.16","0.16","0.205","0.205","0.205","0.245","0.245","0.245","0.496","0.496","0.496"
"135","0.048","0.048","0.048","0.111","0.111","0.111","0.116","0.116","0.116","0.146","0.146","0.146","0.21","0.21","0.21","0.244","0.244","0.244","0.448","0.448","0.448"
"136","0.025","0.025","0.025","0.097","0.097","0.097","0.093","0.093","0.093","0.109","0.109","0.109","0.238","0.238","0.238","0.229","0.229","0.229","0.481","0.481","0.481"
"137","0.026","0.026","0.026","0.092","0.092","0.092","0.097","0.097","0.097","0.118","0.118","0.118","0.233","0.233","0.233","0.233","0.233","0.233","0.466","0.466","0.466"
"138","0.035","0.035","0.035","0.09","0.09","0.09","0.114","0.114","0.114","0.172","0.172","0.172","0.221","0.221","0.221","0.243","0.243","0.243","0.458","0.458","0.458"
"139","0.027","0.027","0.027","0.106","0.106","0.106","0.097","0.097","0.097","0.171","0.171","0.171","0.219","0.219","0.219","0.265","0.265","0.265","0.497","0.497","0.497"
"140","0.015","0.015","0.015","0.105","0.105","0.105","0.093","0.093","0.093","0.145","0.145","0.145","0.232","0.232","0.232","0.244","0.244","0.244","0.485","0.485","0.485"
"141","0.063","0.063","0.063","0.096","0.096","0.096","0.096","0.096","0.096","0.144","0.144","0.144","0.236","0.236","0.236","0.239","0.239","0.239","0.502","0.502","0.502"
"142","0.036","0.036","0.036","0.127","0.127","0.127","0.135","0.135","0.135","0.165","0.165","0.165","0.258","0.258","0.258","0.244","0.244","0.244","0.498","0.498","0.498"
"143","0.029","0.029","0.029","0.092","0.092","0.092","0.099","0.099","0.099","0.194","0.194","0.194","0.225","0.225","0.225","0.274","0.274","0.274","0.488","0.488","0.488"
"144","0.044","0.044","0.044","0.099","0.099","0.099","0.095","0.095","0.095","0.154","0.154","0.154","0.258","0.258","0.258","0.272","0.272","0.272","0.52","0.52","0.52"
"145","0.062","0.062","0.062","0.095","0.095","0.095","0.103","0.103","0.103","0.105","0.105","0.105","0.221","0.221","0.221","0.281","0.281","0.281","0.495","0.495","0.495"
"146","0.056","0.056","0.056","0.094","0.094","0.094","0.1","0.1","0.1","0.177","0.177","0.177","0.255","0.255","0.255","0.252","0.252","0.252","0.514","0.514","0.514"
"147","0.028","0.028","0.028","0.118","0.118","0.118","0.1","0.1","0.1","0.156","0.156","0.156","0.266","0.266","0.266","0.26","0.26","0.26","0.459","0.459","0.459"
"148","0.051","0.051","0.051","0.115","0.115","0.115","0.101","0.101","0.101","0.182","0.182","0.182","0.248","0.248","0.248","0.271","0.271","0.271","0.485","0.485","0.485"
"149","0.042","0.042","0.042","0.118","0.118","0.118","0.126","0.126","0.126","0.226","0.226","0.226","0.278","0.278","0.278","0.276","0.276","0.276","0.508","0.508","0.508"
"150","0.043","0.043","0.043","0.123","0.123","0.123","0.11","0.11","0.11","0.14","0.14","0.14","0.245","0.245","0.245","0.238","0.238","0.238","0.477","0.477","0.477"
"151","0.077","0.077","0.077","0.111","0.111","0.111","0.098","0.098","0.098","0.205","0.205","0.205","0.254","0.254","0.254","0.276","0.276","0.276","0.492","0.492","0.492"
"152","0.067","0.067","0.067","0.122","0.122","0.122","0.12","0.12","0.12","0.212","0.212","0.212","0.258","0.258","0.258","0.289","0.289","0.289","0.518","0.518","0.518"
"153","0.087","0.087","0.087","0.128","0.128","0.128","0.121","0.121","0.121","0.2","0.2","0.2","0.257","0.257","0.257","0.296","0.296","0.296","0.523","0.523","0.523"
"154","0.075","0.075","0.075","0.106","0.106","0.106","0.126","0.126","0.126","0.17","0.17","0.17","0.258","0.258","0.258","0.243","0.243","0.243","0.49","0.49","0.49"
"155","0.047","0.047","0.047","0.107","0.107","0.107","0.128","0.128","0.128","0.163","0.163","0.163","0.226","0.226","0.226","0.289","0.289","0.289","0.52","0.52","0.52"
"156","0.025","0.025","0.025","0.117","0.117","0.117","0.132","0.132","0.132","0.174","0.174","0.174","0.253","0.253","0.253","0.268","0.268","0.268","0.488","0.488","0.488"
"157","0.05","0.05","0.05","0.118","0.118","0.118","0.112","0.112","0.112","0.156","0.156","0.156","0.281","0.281","0.281","0.282","0.282","0.282","0.491","0.491","0.491"
"158","0.067","0.067","0.067","0.123","0.123","0.123","0.129","0.129","0.129","0.181","0.181","0.181","0.279","0.279","0.279","0.28","0.28","0.28","0.51","0.51","0.51"
"159","0.069","0.069","0.069","0.098","0.098","0.098","0.131","0.131","0.131","0.168","0.168","0.168","0.257","0.257","0.257","0.31","0.31","0.31","0.513","0.513","0.513"
"160","0.033","0.033","0.033","0.118","0.118","0.118","0.128","0.128","0.128","0.186","0.186","0.186","0.266","0.266","0.266","0.308","0.308","0.308","0.507","0.507","0.507"
"161","0.053","0.053","0.053","0.115","0.115","0.115","0.109","0.109","0.109","0.211","0.211","0.211","0.299","0.299","0.299","0.31","0.31","0.31","0.516","0.516","0.516"
"162","0.046","0.046","0.046","0.138","0.138","0.138","0.096","0.096","0.096","0.218","0.218","0.218","0.305","0.305","0.305","0.294","0.294","0.294","0.5","0.5","0.5"
"163","0.051","0.051","0.051","0.132","0.132","0.132","0.127","0.127","0.127","0.212","0.212","0.212","0.313","0.313","0.313","0.297","0.297","0.297","0.522","0.522","0.522"
"164","0.048","0.048","0.048","0.11","0.11","0.11","0.127","0.127","0.127","0.158","0.158","0.158","0.268","0.268","0.268","0.294","0.294","0.294","0.502","0.502","0.502"
"165","0.053","0.053","0.053","0.121","0.121","0.121","0.12","0.12","0.12","0.148","0.148","0.148","0.258","0.258","0.258","0.285","0.285","0.285","0.472","0.472","0.472"
"166","0.047","0.047","0.047","0.119","0.119","0.119","0.112","0.112","0.112","0.194","0.194","0.194","0.298","0.298","0.298","0.317","0.317","0.317","0.532","0.532","0.532"
"167","0.048","0.048","0.048","0.123","0.123","0.123","0.143","0.143","0.143","0.171","0.171","0.171","0.303","0.303","0.303","0.313","0.313","0.313","0.496","0.496","0.496"
"168","0.061","0.061","0.061","0.145","0.145","0.145","0.131","0.131","0.131","0.205","0.205","0.205","0.282","0.282","0.282","0.328","0.328","0.328","0.522","0.522","0.522"
"169","0.052","0.052","0.052","0.116","0.116","0.116","0.137","0.137","0.137","0.204","0.204","0.204","0.288","0.288","0.288","0.317","0.317","0.317","0.542","0.542","0.542"
"170","0.054","0.054","0.054","0.141","0.141","0.141","0.142","0.142","0.142","0.149","0.149","0.149","0.288","0.288","0.288","0.325","0.325","0.325","0.489","0.489","0.489"
"171","0.066","0.066","0.066","0.109","0.109","0.109","0.141","0.141","0.141","0.144","0.144","0.144","0.275","0.275","0.275","0.323","0.323","0.323","0.536","0.536","0.536"
"172","0.041","0.041","0.041","0.124","0.124","0.124","0.135","0.135","0.135","0.186","0.186","0.186","0.281","0.281","0.281","0.312","0.312","0.312","0.534","0.534","0.534"
"173","0.054","0.054","0.054","0.152","0.152","0.152","0.131","0.131","0.131","0.157","0.157","0.157","0.341","0.341","0.341","0.325","0.325","0.325","0.51","0.51","0.51"
"174","0.046","0.046","0.046","0.154","0.154","0.154","0.136","0.136","0.136","0.26","0.26","0.26","0.313","0.313","0.313","0.306","0.306","0.306","0.493","0.493","0.493"
"175","0.062","0.062","0.062","0.143","0.143","0.143","0.146","0.146","0.146","0.198","0.198","0.198","0.327","0.327","0.327","0.341","0.341","0.341","0.531","0.531","0.531"
"176","0.053","0.053","0.053","0.12","0.12","0.12","0.125","0.125","0.125","0.217","0.217","0.217","0.303","0.303","0.303","0.342","0.342","0.342","0.542","0.542","0.542"
"177","0.058","0.058","0.058","0.151","0.151","0.151","0.133","0.133","0.133","0.224","0.224","0.224","0.328","0.328","0.328","0.319","0.319","0.319","0.505","0.505","0.505"
"178","0.058","0.058","0.058","0.123","0.123","0.123","0.151","0.151","0.151","0.196","0.196","0.196","0.318","0.318","0.318","0.339","0.339","0.339","0.528","0.528","0.528"
"179","0.04","0.04","0.04","0.141","0.141","0.141","0.14","0.14","0.14","0.203","0.203","0.203","0.349","0.349","0.349","0.327","0.327","0.327","0.538","0.538","0.538"
"180","0.032","0.032","0.032","0.136","0.136","0.136","0.132","0.132","0.132","0.206","0.206","0.206","0.316","0.316","0.316","0.359","0.359","0.359","0.533","0.533","0.533"
"181","0.05","0.05","0.05","0.145","0.145","0.145","0.137","0.137","0.137","0.217","0.217","0.217","0.317","0.317","0.317","0.332","0.332","0.332","0.532","0.532","0.532"
"182","0.078","0.078","0.078","0.143","0.143","0.143","0.147","0.147","0.147","0.168","0.168","0.168","0.326","0.326","0.326","0.321","0.321","0.321","0.505","0.505","0.505"
"183","0.098","0.098","0.098","0.147","0.147","0.147","0.137","0.137","0.137","0.178","0.178","0.178","0.323","0.323","0.323","0.306","0.306","0.306","0.506","0.506","0.506"
"184","0.037","0.037","0.037","0.136","0.136","0.136","0.157","0.157","0.157","0.175","0.175","0.175","0.286","0.286","0.286","0.317","0.317","0.317","0.512","0.512","0.512"
"185","0.064","0.064","0.064","0.121","0.121","0.121","0.164","0.164","0.164","0.247","0.247","0.247","0.308","0.308","0.308","0.328","0.328","0.328","0.527","0.527","0.527"
"186","0.038","0.038","0.038","0.149","0.149","0.149","0.142","0.142","0.142","0.201","0.201","0.201","0.337","0.337","0.337","0.341","0.341","0.341","0.528","0.528","0.528"
"187","0.057","0.057","0.057","0.15","0.15","0.15","0.134","0.134","0.134","0.229","0.229","0.229","0.336","0.336","0.336","0.305","0.305","0.305","0.514","0.514","0.514"
"188","0.074","0.074","0.074","0.17","0.17","0.17","0.158","0.158","0.158","0.217","0.217","0.217","0.35","0.35","0.35","0.341","0.341","0.341","0.548","0.548","0.548"
"189","0.086","0.086","0.086","0.147","0.147","0.147","0.154","0.154","0.154","0.246","0.246","0.246","0.309","0.309","0.309","0.331","0.331","0.331","0.538","0.538","0.538"
"190","0.056","0.056","0.056","0.143","0.143","0.143","0.152","0.152","0.152","0.201","0.201","0.201","0.322","0.322","0.322","0.363","0.363","0.363","0.541","0.541","0.541"
"191","0.09","0.09","0.09","0.138","0.138","0.138","0.16","0.16","0.16","0.247","0.247","0.247","0.287","0.287","0.287","0.358","0.358","0.358","0.522","0.522","0.522"
"192","0.084","0.084","0.084","0.16","0.16","0.16","0.159","0.159","0.159","0.215","0.215","0.215","0.334","0.334","0.334","0.376","0.376","0.376","0.549","0.549","0.549"
"193","0.068","0.068","0.068","0.16","0.16","0.16","0.166","0.166","0.166","0.223","0.223","0.223","0.324","0.324","0.324","0.358","0.358","0.358","0.541","0.541","0.541"
"194","0.051","0.051","0.051","0.176","0.176","0.176","0.145","0.145","0.145","0.176","0.176","0.176","0.309","0.309","0.309","0.342","0.342","0.342","0.494","0.494","0.494"
"195","0.086","0.086","0.086","0.152","0.152","0.152","0.151","0.151","0.151","0.165","0.165","0.165","0.32","0.32","0.32","0.333","0.333","0.333","0.53","0.53","0.53"
"196","0.043","0.043","0.043","0.166","0.166","0.166","0.166","0.166","0.166","0.195","0.195","0.195","0.318","0.318","0.318","0.36","0.36","0.36","0.513","0.513","0.513"
"197","0.105","0.105","0.105","0.166","0.166","0.166","0.158","0.158","0.158","0.237","0.237","0.237","0.353","0.353","0.353","0.394","0.394","0.394","0.554","0.554","0.554"
"198","0.067","0.067","0.067","0.163","0.163","0.163","0.166","0.166","0.166","0.264","0.264","0.264","0.353","0.353","0.353","0.357","0.357","0.357","0.51","0.51","0.51"
"199","0.052","0.052","0.052","0.174","0.174","0.174","0.157","0.157","0.157","0.229","0.229","0.229","0.348","0.348","0.348","0.366","0.366","0.366","0.528","0.528","0.528"
"200","0.067","0.067","0.067","0.145","0.145","0.145","0.184","0.184","0.184","0.211","0.211","0.211","0.326","0.326","0.326","0.352","0.352","0.352","0.523","0.523","0.523"
"201","0.048","0.048","0.048","0.172","0.172","0.172","0.168","0.168","0.168","0.225","0.225","0.225","0.357","0.357","0.357","0.374","0.374","0.374","0.533","0.533","0.533"
"202","0.034","0.034","0.034","0.175","0.175","0.175","0.145","0.145","0.145","0.232","0.232","0.232","0.346","0.346","0.346","0.362","0.362","0.362","0.56","0.56","0.56"
"203","0.094","0.094","0.094","0.164","0.164","0.164","0.165","0.165","0.165","0.16","0.16","0.16","0.338","0.338","0.338","0.37","0.37","0.37","0.528","0.528","0.528"
"204","0.059","0.059","0.059","0.172","0.172","0.172","0.176","0.176","0.176","0.22","0.22","0.22","0.356","0.356","0.356","0.383","0.383","0.383","0.501","0.501","0.501"
"205","0.083","0.083","0.083","0.159","0.159","0.159","0.177","0.177","0.177","0.21","0.21","0.21","0.345","0.345","0.345","0.381","0.381","0.381","0.545","0.545","0.545"
"206","0.073","0.073","0.073","0.167","0.167","0.167","0.186","0.186","0.186","0.299","0.299","0.299","0.374","0.374","0.374","0.373","0.373","0.373","0.561","0.561","0.561"
"207","0.071","0.071","0.071","0.139","0.139","0.139","0.173","0.173","0.173","0.267","0.267","0.267","0.336","0.336","0.336","0.388","0.388","0.388","0.54","0.54","0.54"
"208","0.051","0.051","0.051","0.177","0.177","0.177","0.177","0.177","0.177","0.196","0.196","0.196","0.361","0.361","0.361","0.377","0.377","0.377","0.527","0.527","0.527"
"209","0.073","0.073","0.073","0.154","0.154","0.154","0.173","0.173","0.173","0.228","0.228","0.228","0.362","0.362","0.362","0.36","0.36","0.36","0.524","0.524","0.524"
"210","0.114","0.114","0.114","0.175","0.175","0.175","0.168","0.168","0.168","0.207","0.207","0.207","0.356","0.356","0.356","0.405","0.405","0.405","0.545","0.545","0.545"
"211","0.079","0.079","0.079","0.192","0.192","0.192","0.167","0.167","0.167","0.248","0.248","0.248","0.369","0.369","0.369","0.399","0.399","0.399","0.553","0.553","0.553"
"212","0.068","0.068","0.068","0.181","0.181","0.181","0.165","0.165","0.165","0.247","0.247","0.247","0.371","0.371","0.371","0.37","0.37","0.37","0.545","0.545","0.545"
"213","0.083","0.083","0.083","0.166","0.166","0.166","0.17","0.17","0.17","0.293","0.293","0.293","0.357","0.357","0.357","0.369","0.369","0.369","0.514","0.514","0.514"
"214","0.074","0.074","0.074","0.191","0.191","0.191","0.208","0.208","0.208","0.28","0.28","0.28","0.357","0.357","0.357","0.376","0.376","0.376","0.542","0.542","0.542"
"215","0.089","0.089","0.089","0.193","0.193","0.193","0.178","0.178","0.178","0.273","0.273","0.273","0.367","0.367","0.367","0.412","0.412","0.412","0.559","0.559","0.559"
"216","0.056","0.056","0.056","0.162","0.162","0.162","0.177","0.177","0.177","0.251","0.251","0.251","0.359","0.359","0.359","0.373","0.373","0.373","0.525","0.525","0.525"
"217","0.059","0.059","0.059","0.169","0.169","0.169","0.201","0.201","0.201","0.288","0.288","0.288","0.362","0.362","0.362","0.391","0.391","0.391","0.508","0.508","0.508"
