"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"93","0.056","0.056","0.056","0.083","0.083","0.083","0.049","0.049","0.049","0.388","0.388","0.388","0.174","0.174","0.174","0.149","0.149","0.149","0.086","0.086","0.086","0.328","0.328","0.328"
"94","0.07","0.07","0.07","0.072","0.072","0.072","0.047","0.047","0.047","0.401","0.401","0.401","0.202","0.202","0.202","0.182","0.182","0.182","0.105","0.105","0.105","0.341","0.341","0.341"
"95","0.056","0.056","0.056","0.05","0.05","0.05","0.012","0.012","0.012","0.393","0.393","0.393","0.194","0.194","0.194","0.145","0.145","0.145","0.089","0.089","0.089","0.33","0.33","0.33"
"96","0.07","0.07","0.07","0.058","0.058","0.058","0.028","0.028","0.028","0.395","0.395","0.395","0.16","0.16","0.16","0.163","0.163","0.163","0.094","0.094","0.094","0.358","0.358","0.358"
"97","0.09","0.09","0.09","0.066","0.066","0.066","0.045","0.045","0.045","0.408","0.408","0.408","0.175","0.175","0.175","0.151","0.151","0.151","0.066","0.066","0.066","0.327","0.327","0.327"
"98","0.067","0.067","0.067","0.062","0.062","0.062","0.03","0.03","0.03","0.406","0.406","0.406","0.165","0.165","0.165","0.165","0.165","0.165","0.094","0.094","0.094","0.345","0.345","0.345"
"99","0.076","0.076","0.076","0.059","0.059","0.059","0.065","0.065","0.065","0.428","0.428","0.428","0.216","0.216","0.216","0.147","0.147","0.147","0.116","0.116","0.116","0.335","0.335","0.335"
"100","0.058","0.058","0.058","0.079","0.079","0.079","0.032","0.032","0.032","0.382","0.382","0.382","0.18","0.18","0.18","0.175","0.175","0.175","0.132","0.132","0.132","0.345","0.345","0.345"
"101","0.076","0.076","0.076","0.084","0.084","0.084","0.013","0.013","0.013","0.436","0.436","0.436","0.179","0.179","0.179","0.165","0.165","0.165","0.106","0.106","0.106","0.345","0.345","0.345"
"102","0.081","0.081","0.081","0.058","0.058","0.058","0.016","0.016","0.016","0.413","0.413","0.413","0.19","0.19","0.19","0.167","0.167","0.167","0.091","0.091","0.091","0.366","0.366","0.366"
"103","0.088","0.088","0.088","0.063","0.063","0.063","0.014","0.014","0.014","0.385","0.385","0.385","0.189","0.189","0.189","0.17","0.17","0.17","0.08","0.08","0.08","0.344","0.344","0.344"
"104","0.105","0.105","0.105","0.076","0.076","0.076","0.034","0.034","0.034","0.415","0.415","0.415","0.208","0.208","0.208","0.184","0.184","0.184","0.152","0.152","0.152","0.342","0.342","0.342"
"105","0.098","0.098","0.098","0.071","0.071","0.071","0.031","0.031","0.031","0.411","0.411","0.411","0.19","0.19","0.19","0.188","0.188","0.188","0.139","0.139","0.139","0.366","0.366","0.366"
"106","0.081","0.081","0.081","0.061","0.061","0.061","0.008","0.008","0.008","0.419","0.419","0.419","0.197","0.197","0.197","0.16","0.16","0.16","0.105","0.105","0.105","0.373","0.373","0.373"
"107","0.096","0.096","0.096","0.076","0.076","0.076","0.008","0.008","0.008","0.42","0.42","0.42","0.187","0.187","0.187","0.173","0.173","0.173","0.116","0.116","0.116","0.384","0.384","0.384"
"108","0.092","0.092","0.092","0.073","0.073","0.073","0.024","0.024","0.024","0.429","0.429","0.429","0.198","0.198","0.198","0.195","0.195","0.195","0.118","0.118","0.118","0.355","0.355","0.355"
"109","0.095","0.095","0.095","0.054","0.054","0.054","0.024","0.024","0.024","0.431","0.431","0.431","0.198","0.198","0.198","0.17","0.17","0.17","0.141","0.141","0.141","0.362","0.362","0.362"
"110","0.072","0.072","0.072","0.078","0.078","0.078","0.039","0.039","0.039","0.469","0.469","0.469","0.205","0.205","0.205","0.186","0.186","0.186","0.117","0.117","0.117","0.35","0.35","0.35"
"111","0.073","0.073","0.073","0.069","0.069","0.069","0.06","0.06","0.06","0.458","0.458","0.458","0.207","0.207","0.207","0.191","0.191","0.191","0.116","0.116","0.116","0.368","0.368","0.368"
"112","0.092","0.092","0.092","0.08","0.08","0.08","0.032","0.032","0.032","0.407","0.407","0.407","0.181","0.181","0.181","0.177","0.177","0.177","0.103","0.103","0.103","0.378","0.378","0.378"
"113","0.087","0.087","0.087","0.078","0.078","0.078","0.081","0.081","0.081","0.449","0.449","0.449","0.184","0.184","0.184","0.181","0.181","0.181","0.151","0.151","0.151","0.422","0.422","0.422"
"114","0.084","0.084","0.084","0.096","0.096","0.096","0.012","0.012","0.012","0.433","0.433","0.433","0.195","0.195","0.195","0.18","0.18","0.18","0.132","0.132","0.132","0.39","0.39","0.39"
"115","0.083","0.083","0.083","0.075","0.075","0.075","0.029","0.029","0.029","0.461","0.461","0.461","0.201","0.201","0.201","0.185","0.185","0.185","0.095","0.095","0.095","0.4","0.4","0.4"
"116","0.087","0.087","0.087","0.081","0.081","0.081","0.068","0.068","0.068","0.455","0.455","0.455","0.21","0.21","0.21","0.237","0.237","0.237","0.102","0.102","0.102","0.4","0.4","0.4"
"117","0.092","0.092","0.092","0.081","0.081","0.081","0.046","0.046","0.046","0.44","0.44","0.44","0.237","0.237","0.237","0.199","0.199","0.199","0.118","0.118","0.118","0.364","0.364","0.364"
"118","0.08","0.08","0.08","0.088","0.088","0.088","0.049","0.049","0.049","0.436","0.436","0.436","0.216","0.216","0.216","0.198","0.198","0.198","0.095","0.095","0.095","0.371","0.371","0.371"
"119","0.105","0.105","0.105","0.066","0.066","0.066","0.066","0.066","0.066","0.457","0.457","0.457","0.199","0.199","0.199","0.189","0.189","0.189","0.102","0.102","0.102","0.416","0.416","0.416"
"120","0.09","0.09","0.09","0.09","0.09","0.09","0.037","0.037","0.037","0.44","0.44","0.44","0.23","0.23","0.23","0.192","0.192","0.192","0.105","0.105","0.105","0.41","0.41","0.41"
"121","0.086","0.086","0.086","0.105","0.105","0.105","0.045","0.045","0.045","0.481","0.481","0.481","0.211","0.211","0.211","0.218","0.218","0.218","0.161","0.161","0.161","0.405","0.405","0.405"
"122","0.092","0.092","0.092","0.08","0.08","0.08","0.041","0.041","0.041","0.487","0.487","0.487","0.223","0.223","0.223","0.208","0.208","0.208","0.174","0.174","0.174","0.401","0.401","0.401"
"123","0.112","0.112","0.112","0.068","0.068","0.068","0.015","0.015","0.015","0.47","0.47","0.47","0.241","0.241","0.241","0.214","0.214","0.214","0.17","0.17","0.17","0.407","0.407","0.407"
"124","0.095","0.095","0.095","0.099","0.099","0.099","0.039","0.039","0.039","0.486","0.486","0.486","0.232","0.232","0.232","0.199","0.199","0.199","0.128","0.128","0.128","0.391","0.391","0.391"
"125","0.079","0.079","0.079","0.088","0.088","0.088","0.06","0.06","0.06","0.457","0.457","0.457","0.21","0.21","0.21","0.217","0.217","0.217","0.16","0.16","0.16","0.424","0.424","0.424"
"126","0.102","0.102","0.102","0.088","0.088","0.088","0.039","0.039","0.039","0.469","0.469","0.469","0.216","0.216","0.216","0.222","0.222","0.222","0.16","0.16","0.16","0.435","0.435","0.435"
"127","0.103","0.103","0.103","0.089","0.089","0.089","0.052","0.052","0.052","0.491","0.491","0.491","0.216","0.216","0.216","0.237","0.237","0.237","0.114","0.114","0.114","0.417","0.417","0.417"
"128","0.109","0.109","0.109","0.079","0.079","0.079","0.049","0.049","0.049","0.493","0.493","0.493","0.224","0.224","0.224","0.224","0.224","0.224","0.148","0.148","0.148","0.393","0.393","0.393"
"129","0.099","0.099","0.099","0.079","0.079","0.079","0.036","0.036","0.036","0.443","0.443","0.443","0.21","0.21","0.21","0.205","0.205","0.205","0.129","0.129","0.129","0.425","0.425","0.425"
"130","0.09","0.09","0.09","0.094","0.094","0.094","0.06","0.06","0.06","0.447","0.447","0.447","0.232","0.232","0.232","0.235","0.235","0.235","0.124","0.124","0.124","0.415","0.415","0.415"
"131","0.097","0.097","0.097","0.11","0.11","0.11","0.04","0.04","0.04","0.475","0.475","0.475","0.234","0.234","0.234","0.233","0.233","0.233","0.173","0.173","0.173","0.438","0.438","0.438"
"132","0.092","0.092","0.092","0.082","0.082","0.082","0.035","0.035","0.035","0.486","0.486","0.486","0.236","0.236","0.236","0.198","0.198","0.198","0.14","0.14","0.14","0.422","0.422","0.422"
"133","0.111","0.111","0.111","0.082","0.082","0.082","0.032","0.032","0.032","0.496","0.496","0.496","0.232","0.232","0.232","0.198","0.198","0.198","0.164","0.164","0.164","0.417","0.417","0.417"
"134","0.095","0.095","0.095","0.087","0.087","0.087","0.063","0.063","0.063","0.496","0.496","0.496","0.245","0.245","0.245","0.205","0.205","0.205","0.16","0.16","0.16","0.431","0.431","0.431"
"135","0.116","0.116","0.116","0.111","0.111","0.111","0.048","0.048","0.048","0.448","0.448","0.448","0.244","0.244","0.244","0.21","0.21","0.21","0.146","0.146","0.146","0.424","0.424","0.424"
"136","0.093","0.093","0.093","0.097","0.097","0.097","0.025","0.025","0.025","0.481","0.481","0.481","0.229","0.229","0.229","0.238","0.238","0.238","0.109","0.109","0.109","0.4","0.4","0.4"
"137","0.097","0.097","0.097","0.092","0.092","0.092","0.026","0.026","0.026","0.466","0.466","0.466","0.233","0.233","0.233","0.233","0.233","0.233","0.118","0.118","0.118","0.434","0.434","0.434"
"138","0.114","0.114","0.114","0.09","0.09","0.09","0.035","0.035","0.035","0.458","0.458","0.458","0.243","0.243","0.243","0.221","0.221","0.221","0.172","0.172","0.172","0.426","0.426","0.426"
"139","0.097","0.097","0.097","0.106","0.106","0.106","0.027","0.027","0.027","0.497","0.497","0.497","0.265","0.265","0.265","0.219","0.219","0.219","0.171","0.171","0.171","0.459","0.459","0.459"
"140","0.093","0.093","0.093","0.105","0.105","0.105","0.015","0.015","0.015","0.485","0.485","0.485","0.244","0.244","0.244","0.232","0.232","0.232","0.145","0.145","0.145","0.429","0.429","0.429"
"141","0.096","0.096","0.096","0.096","0.096","0.096","0.063","0.063","0.063","0.502","0.502","0.502","0.239","0.239","0.239","0.236","0.236","0.236","0.144","0.144","0.144","0.455","0.455","0.455"
"142","0.135","0.135","0.135","0.127","0.127","0.127","0.036","0.036","0.036","0.498","0.498","0.498","0.244","0.244","0.244","0.258","0.258","0.258","0.165","0.165","0.165","0.455","0.455","0.455"
"143","0.099","0.099","0.099","0.092","0.092","0.092","0.029","0.029","0.029","0.488","0.488","0.488","0.274","0.274","0.274","0.225","0.225","0.225","0.194","0.194","0.194","0.452","0.452","0.452"
"144","0.095","0.095","0.095","0.099","0.099","0.099","0.044","0.044","0.044","0.52","0.52","0.52","0.272","0.272","0.272","0.258","0.258","0.258","0.154","0.154","0.154","0.473","0.473","0.473"
"145","0.103","0.103","0.103","0.095","0.095","0.095","0.062","0.062","0.062","0.495","0.495","0.495","0.281","0.281","0.281","0.221","0.221","0.221","0.105","0.105","0.105","0.452","0.452","0.452"
"146","0.1","0.1","0.1","0.094","0.094","0.094","0.056","0.056","0.056","0.514","0.514","0.514","0.252","0.252","0.252","0.255","0.255","0.255","0.177","0.177","0.177","0.438","0.438","0.438"
"147","0.1","0.1","0.1","0.118","0.118","0.118","0.028","0.028","0.028","0.459","0.459","0.459","0.26","0.26","0.26","0.266","0.266","0.266","0.156","0.156","0.156","0.469","0.469","0.469"
"148","0.101","0.101","0.101","0.115","0.115","0.115","0.051","0.051","0.051","0.485","0.485","0.485","0.271","0.271","0.271","0.248","0.248","0.248","0.182","0.182","0.182","0.479","0.479","0.479"
"149","0.126","0.126","0.126","0.118","0.118","0.118","0.042","0.042","0.042","0.508","0.508","0.508","0.276","0.276","0.276","0.278","0.278","0.278","0.226","0.226","0.226","0.442","0.442","0.442"
"150","0.11","0.11","0.11","0.123","0.123","0.123","0.043","0.043","0.043","0.477","0.477","0.477","0.238","0.238","0.238","0.245","0.245","0.245","0.14","0.14","0.14","0.467","0.467","0.467"
"151","0.098","0.098","0.098","0.111","0.111","0.111","0.077","0.077","0.077","0.492","0.492","0.492","0.276","0.276","0.276","0.254","0.254","0.254","0.205","0.205","0.205","0.473","0.473","0.473"
"152","0.12","0.12","0.12","0.122","0.122","0.122","0.067","0.067","0.067","0.518","0.518","0.518","0.289","0.289","0.289","0.258","0.258","0.258","0.212","0.212","0.212","0.48","0.48","0.48"
"153","0.121","0.121","0.121","0.128","0.128","0.128","0.087","0.087","0.087","0.523","0.523","0.523","0.296","0.296","0.296","0.257","0.257","0.257","0.2","0.2","0.2","0.45","0.45","0.45"
"154","0.126","0.126","0.126","0.106","0.106","0.106","0.075","0.075","0.075","0.49","0.49","0.49","0.243","0.243","0.243","0.258","0.258","0.258","0.17","0.17","0.17","0.445","0.445","0.445"
"155","0.128","0.128","0.128","0.107","0.107","0.107","0.047","0.047","0.047","0.52","0.52","0.52","0.289","0.289","0.289","0.226","0.226","0.226","0.163","0.163","0.163","0.462","0.462","0.462"
"156","0.132","0.132","0.132","0.117","0.117","0.117","0.025","0.025","0.025","0.488","0.488","0.488","0.268","0.268","0.268","0.253","0.253","0.253","0.174","0.174","0.174","0.471","0.471","0.471"
"157","0.112","0.112","0.112","0.118","0.118","0.118","0.05","0.05","0.05","0.491","0.491","0.491","0.282","0.282","0.282","0.281","0.281","0.281","0.156","0.156","0.156","0.487","0.487","0.487"
"158","0.129","0.129","0.129","0.123","0.123","0.123","0.067","0.067","0.067","0.51","0.51","0.51","0.28","0.28","0.28","0.279","0.279","0.279","0.181","0.181","0.181","0.472","0.472","0.472"
"159","0.131","0.131","0.131","0.098","0.098","0.098","0.069","0.069","0.069","0.513","0.513","0.513","0.31","0.31","0.31","0.257","0.257","0.257","0.168","0.168","0.168","0.484","0.484","0.484"
"160","0.128","0.128","0.128","0.118","0.118","0.118","0.033","0.033","0.033","0.507","0.507","0.507","0.308","0.308","0.308","0.266","0.266","0.266","0.186","0.186","0.186","0.505","0.505","0.505"
"161","0.109","0.109","0.109","0.115","0.115","0.115","0.053","0.053","0.053","0.516","0.516","0.516","0.31","0.31","0.31","0.299","0.299","0.299","0.211","0.211","0.211","0.505","0.505","0.505"
"162","0.096","0.096","0.096","0.138","0.138","0.138","0.046","0.046","0.046","0.5","0.5","0.5","0.294","0.294","0.294","0.305","0.305","0.305","0.218","0.218","0.218","0.464","0.464","0.464"
"163","0.127","0.127","0.127","0.132","0.132","0.132","0.051","0.051","0.051","0.522","0.522","0.522","0.297","0.297","0.297","0.313","0.313","0.313","0.212","0.212","0.212","0.483","0.483","0.483"
"164","0.127","0.127","0.127","0.11","0.11","0.11","0.048","0.048","0.048","0.502","0.502","0.502","0.294","0.294","0.294","0.268","0.268","0.268","0.158","0.158","0.158","0.471","0.471","0.471"
"165","0.12","0.12","0.12","0.121","0.121","0.121","0.053","0.053","0.053","0.472","0.472","0.472","0.285","0.285","0.285","0.258","0.258","0.258","0.148","0.148","0.148","0.501","0.501","0.501"
"166","0.112","0.112","0.112","0.119","0.119","0.119","0.047","0.047","0.047","0.532","0.532","0.532","0.317","0.317","0.317","0.298","0.298","0.298","0.194","0.194","0.194","0.473","0.473","0.473"
"167","0.143","0.143","0.143","0.123","0.123","0.123","0.048","0.048","0.048","0.496","0.496","0.496","0.313","0.313","0.313","0.303","0.303","0.303","0.171","0.171","0.171","0.504","0.504","0.504"
"168","0.131","0.131","0.131","0.145","0.145","0.145","0.061","0.061","0.061","0.522","0.522","0.522","0.328","0.328","0.328","0.282","0.282","0.282","0.205","0.205","0.205","0.479","0.479","0.479"
"169","0.137","0.137","0.137","0.116","0.116","0.116","0.052","0.052","0.052","0.542","0.542","0.542","0.317","0.317","0.317","0.288","0.288","0.288","0.204","0.204","0.204","0.462","0.462","0.462"
"170","0.142","0.142","0.142","0.141","0.141","0.141","0.054","0.054","0.054","0.489","0.489","0.489","0.325","0.325","0.325","0.288","0.288","0.288","0.149","0.149","0.149","0.466","0.466","0.466"
"171","0.141","0.141","0.141","0.109","0.109","0.109","0.066","0.066","0.066","0.536","0.536","0.536","0.323","0.323","0.323","0.275","0.275","0.275","0.144","0.144","0.144","0.491","0.491","0.491"
"172","0.135","0.135","0.135","0.124","0.124","0.124","0.041","0.041","0.041","0.534","0.534","0.534","0.312","0.312","0.312","0.281","0.281","0.281","0.186","0.186","0.186","0.505","0.505","0.505"
"173","0.131","0.131","0.131","0.152","0.152","0.152","0.054","0.054","0.054","0.51","0.51","0.51","0.325","0.325","0.325","0.341","0.341","0.341","0.157","0.157","0.157","0.508","0.508","0.508"
"174","0.136","0.136","0.136","0.154","0.154","0.154","0.046","0.046","0.046","0.493","0.493","0.493","0.306","0.306","0.306","0.313","0.313","0.313","0.26","0.26","0.26","0.513","0.513","0.513"
"175","0.146","0.146","0.146","0.143","0.143","0.143","0.062","0.062","0.062","0.531","0.531","0.531","0.341","0.341","0.341","0.327","0.327","0.327","0.198","0.198","0.198","0.531","0.531","0.531"
"176","0.125","0.125","0.125","0.12","0.12","0.12","0.053","0.053","0.053","0.542","0.542","0.542","0.342","0.342","0.342","0.303","0.303","0.303","0.217","0.217","0.217","0.5","0.5","0.5"
"177","0.133","0.133","0.133","0.151","0.151","0.151","0.058","0.058","0.058","0.505","0.505","0.505","0.319","0.319","0.319","0.328","0.328","0.328","0.224","0.224","0.224","0.512","0.512","0.512"
"178","0.151","0.151","0.151","0.123","0.123","0.123","0.058","0.058","0.058","0.528","0.528","0.528","0.339","0.339","0.339","0.318","0.318","0.318","0.196","0.196","0.196","0.51","0.51","0.51"
"179","0.14","0.14","0.14","0.141","0.141","0.141","0.04","0.04","0.04","0.538","0.538","0.538","0.327","0.327","0.327","0.349","0.349","0.349","0.203","0.203","0.203","0.484","0.484","0.484"
"180","0.132","0.132","0.132","0.136","0.136","0.136","0.032","0.032","0.032","0.533","0.533","0.533","0.359","0.359","0.359","0.316","0.316","0.316","0.206","0.206","0.206","0.506","0.506","0.506"
"181","0.137","0.137","0.137","0.145","0.145","0.145","0.05","0.05","0.05","0.532","0.532","0.532","0.332","0.332","0.332","0.317","0.317","0.317","0.217","0.217","0.217","0.505","0.505","0.505"
"182","0.147","0.147","0.147","0.143","0.143","0.143","0.078","0.078","0.078","0.505","0.505","0.505","0.321","0.321","0.321","0.326","0.326","0.326","0.168","0.168","0.168","0.488","0.488","0.488"
"183","0.137","0.137","0.137","0.147","0.147","0.147","0.098","0.098","0.098","0.506","0.506","0.506","0.306","0.306","0.306","0.323","0.323","0.323","0.178","0.178","0.178","0.533","0.533","0.533"
"184","0.157","0.157","0.157","0.136","0.136","0.136","0.037","0.037","0.037","0.512","0.512","0.512","0.317","0.317","0.317","0.286","0.286","0.286","0.175","0.175","0.175","0.451","0.451","0.451"
"185","0.164","0.164","0.164","0.121","0.121","0.121","0.064","0.064","0.064","0.527","0.527","0.527","0.328","0.328","0.328","0.308","0.308","0.308","0.247","0.247","0.247","0.495","0.495","0.495"
"186","0.142","0.142","0.142","0.149","0.149","0.149","0.038","0.038","0.038","0.528","0.528","0.528","0.341","0.341","0.341","0.337","0.337","0.337","0.201","0.201","0.201","0.506","0.506","0.506"
"187","0.134","0.134","0.134","0.15","0.15","0.15","0.057","0.057","0.057","0.514","0.514","0.514","0.305","0.305","0.305","0.336","0.336","0.336","0.229","0.229","0.229","0.496","0.496","0.496"
"188","0.158","0.158","0.158","0.17","0.17","0.17","0.074","0.074","0.074","0.548","0.548","0.548","0.341","0.341","0.341","0.35","0.35","0.35","0.217","0.217","0.217","0.495","0.495","0.495"
"189","0.154","0.154","0.154","0.147","0.147","0.147","0.086","0.086","0.086","0.538","0.538","0.538","0.331","0.331","0.331","0.309","0.309","0.309","0.246","0.246","0.246","0.509","0.509","0.509"
"190","0.152","0.152","0.152","0.143","0.143","0.143","0.056","0.056","0.056","0.541","0.541","0.541","0.363","0.363","0.363","0.322","0.322","0.322","0.201","0.201","0.201","0.514","0.514","0.514"
"191","0.16","0.16","0.16","0.138","0.138","0.138","0.09","0.09","0.09","0.522","0.522","0.522","0.358","0.358","0.358","0.287","0.287","0.287","0.247","0.247","0.247","0.525","0.525","0.525"
"192","0.159","0.159","0.159","0.16","0.16","0.16","0.084","0.084","0.084","0.549","0.549","0.549","0.376","0.376","0.376","0.334","0.334","0.334","0.215","0.215","0.215","0.511","0.511","0.511"
"193","0.166","0.166","0.166","0.16","0.16","0.16","0.068","0.068","0.068","0.541","0.541","0.541","0.358","0.358","0.358","0.324","0.324","0.324","0.223","0.223","0.223","0.511","0.511","0.511"
"194","0.145","0.145","0.145","0.176","0.176","0.176","0.051","0.051","0.051","0.494","0.494","0.494","0.342","0.342","0.342","0.309","0.309","0.309","0.176","0.176","0.176","0.53","0.53","0.53"
"195","0.151","0.151","0.151","0.152","0.152","0.152","0.086","0.086","0.086","0.53","0.53","0.53","0.333","0.333","0.333","0.32","0.32","0.32","0.165","0.165","0.165","0.527","0.527","0.527"
"196","0.166","0.166","0.166","0.166","0.166","0.166","0.043","0.043","0.043","0.513","0.513","0.513","0.36","0.36","0.36","0.318","0.318","0.318","0.195","0.195","0.195","0.517","0.517","0.517"
"197","0.158","0.158","0.158","0.166","0.166","0.166","0.105","0.105","0.105","0.554","0.554","0.554","0.394","0.394","0.394","0.353","0.353","0.353","0.237","0.237","0.237","0.533","0.533","0.533"
"198","0.166","0.166","0.166","0.163","0.163","0.163","0.067","0.067","0.067","0.51","0.51","0.51","0.357","0.357","0.357","0.353","0.353","0.353","0.264","0.264","0.264","0.517","0.517","0.517"
"199","0.157","0.157","0.157","0.174","0.174","0.174","0.052","0.052","0.052","0.528","0.528","0.528","0.366","0.366","0.366","0.348","0.348","0.348","0.229","0.229","0.229","0.525","0.525","0.525"
"200","0.184","0.184","0.184","0.145","0.145","0.145","0.067","0.067","0.067","0.523","0.523","0.523","0.352","0.352","0.352","0.326","0.326","0.326","0.211","0.211","0.211","0.518","0.518","0.518"
"201","0.168","0.168","0.168","0.172","0.172","0.172","0.048","0.048","0.048","0.533","0.533","0.533","0.374","0.374","0.374","0.357","0.357","0.357","0.225","0.225","0.225","0.504","0.504","0.504"
"202","0.145","0.145","0.145","0.175","0.175","0.175","0.034","0.034","0.034","0.56","0.56","0.56","0.362","0.362","0.362","0.346","0.346","0.346","0.232","0.232","0.232","0.527","0.527","0.527"
"203","0.165","0.165","0.165","0.164","0.164","0.164","0.094","0.094","0.094","0.528","0.528","0.528","0.37","0.37","0.37","0.338","0.338","0.338","0.16","0.16","0.16","0.513","0.513","0.513"
"204","0.176","0.176","0.176","0.172","0.172","0.172","0.059","0.059","0.059","0.501","0.501","0.501","0.383","0.383","0.383","0.356","0.356","0.356","0.22","0.22","0.22","0.508","0.508","0.508"
"205","0.177","0.177","0.177","0.159","0.159","0.159","0.083","0.083","0.083","0.545","0.545","0.545","0.381","0.381","0.381","0.345","0.345","0.345","0.21","0.21","0.21","0.512","0.512","0.512"
"206","0.186","0.186","0.186","0.167","0.167","0.167","0.073","0.073","0.073","0.561","0.561","0.561","0.373","0.373","0.373","0.374","0.374","0.374","0.299","0.299","0.299","0.533","0.533","0.533"
"207","0.173","0.173","0.173","0.139","0.139","0.139","0.071","0.071","0.071","0.54","0.54","0.54","0.388","0.388","0.388","0.336","0.336","0.336","0.267","0.267","0.267","0.522","0.522","0.522"
"208","0.177","0.177","0.177","0.177","0.177","0.177","0.051","0.051","0.051","0.527","0.527","0.527","0.377","0.377","0.377","0.361","0.361","0.361","0.196","0.196","0.196","0.518","0.518","0.518"
"209","0.173","0.173","0.173","0.154","0.154","0.154","0.073","0.073","0.073","0.524","0.524","0.524","0.36","0.36","0.36","0.362","0.362","0.362","0.228","0.228","0.228","0.528","0.528","0.528"
"210","0.168","0.168","0.168","0.175","0.175","0.175","0.114","0.114","0.114","0.545","0.545","0.545","0.405","0.405","0.405","0.356","0.356","0.356","0.207","0.207","0.207","0.528","0.528","0.528"
"211","0.167","0.167","0.167","0.192","0.192","0.192","0.079","0.079","0.079","0.553","0.553","0.553","0.399","0.399","0.399","0.369","0.369","0.369","0.248","0.248","0.248","0.533","0.533","0.533"
"212","0.165","0.165","0.165","0.181","0.181","0.181","0.068","0.068","0.068","0.545","0.545","0.545","0.37","0.37","0.37","0.371","0.371","0.371","0.247","0.247","0.247","0.506","0.506","0.506"
"213","0.17","0.17","0.17","0.166","0.166","0.166","0.083","0.083","0.083","0.514","0.514","0.514","0.369","0.369","0.369","0.357","0.357","0.357","0.293","0.293","0.293","0.525","0.525","0.525"
"214","0.208","0.208","0.208","0.191","0.191","0.191","0.074","0.074","0.074","0.542","0.542","0.542","0.376","0.376","0.376","0.357","0.357","0.357","0.28","0.28","0.28","0.516","0.516","0.516"
"215","0.178","0.178","0.178","0.193","0.193","0.193","0.089","0.089","0.089","0.559","0.559","0.559","0.412","0.412","0.412","0.367","0.367","0.367","0.273","0.273","0.273","0.512","0.512","0.512"
"216","0.177","0.177","0.177","0.162","0.162","0.162","0.056","0.056","0.056","0.525","0.525","0.525","0.373","0.373","0.373","0.359","0.359","0.359","0.251","0.251","0.251","0.51","0.51","0.51"
"217","0.201","0.201","0.201","0.169","0.169","0.169","0.059","0.059","0.059","0.508","0.508","0.508","0.391","0.391","0.391","0.362","0.362","0.362","0.288","0.288","0.288","0.482","0.482","0.482"
"218","0.191","0.191","0.191","0.2","0.2","0.2","0.079","0.079","0.079","0.539","0.539","0.539","0.382","0.382","0.382","0.367","0.367","0.367","0.298","0.298","0.298","0.517","0.517","0.517"
"219","0.184","0.184","0.184","0.173","0.173","0.173","0.061","0.061","0.061","0.527","0.527","0.527","0.385","0.385","0.385","0.384","0.384","0.384","0.256","0.256","0.256","0.54","0.54","0.54"
